epoch,train_loss,val_loss
1,93.44223742,93.18203963
2,85.95970495,94.15077993
3,82.16952096,90.27409959
4,80.31098433,90.70083695
5,80.55561652,90.3847334
6,79.64811196,98.47292447
7,78.05935229,88.61467002
8,76.5988122,86.8060527
9,77.79359266,88.16267245
10,78.04313475,82.62726234
11,76.19188568,88.28060499
12,77.1747719,88.70142162
13,75.77397021,87.66233554
14,75.72542744,84.7745452
15,75.34926321,84.65358734
16,75.66848829,86.58935183
17,72.47023858,86.7991831
18,73.22024466,84.77818606
19,73.04837461,82.95010105
20,73.75581442,84.45059697
21,73.02432264,84.09554069
22,73.0876774,83.68698568
23,73.08140714,82.17370722
24,71.19351702,81.66517253
25,69.83124946,80.85826383
26,71.12578937,83.82042296
27,72.11699076,82.39058667
28,71.18202104,82.45016604
29,71.92826267,87.74552857
30,69.44771954,80.71154444
31,70.01626805,83.59257528
32,69.19102488,80.87367748
33,70.41704415,80.47756167
34,69.6143671,81.81314603
35,71.07599432,80.53623097
36,68.98790373,81.54843919
37,69.43570362,78.40666591
38,67.27982973,77.94608246
39,66.45272167,82.28119147
40,67.38271147,83.84841169
41,67.50059731,79.03733287
42,65.5375571,79.14814122
43,68.05442252,77.41036327
44,67.43928809,81.55315062
45,67.49111357,81.72633559
46,65.53899685,78.30035024
47,66.03463638,80.84199442
48,66.20844121,80.58199473
49,66.20452714,76.52701254
50,64.02271704,76.85603725
51,64.56251813,80.6885157
52,64.07131087,76.80095091
53,62.74389723,78.83856923
54,62.85250146,78.12606728
55,63.95552577,77.75493412
56,64.59678782,77.0153216
57,62.27434249,77.69282086
58,64.14796065,74.19202491
59,64.6427327,76.25142995
60,63.49783561,75.99869027
61,63.09668819,75.67661978
62,63.26674868,79.08530152
63,61.83073261,76.12447354
64,62.47543833,75.40063165
65,62.07904388,74.62424816
66,61.24355484,77.02936048
67,60.80465091,73.36418227
68,63.93924372,77.27263117
69,63.19178726,74.41532063
70,62.57070734,74.25380601
71,62.8430987,74.08386012
72,61.083277,73.52840024
73,61.13034687,74.12588801
74,60.64872667,74.33058169
75,60.78374101,75.57736582
76,60.1938466,75.60497248
77,60.43032161,75.45879419
78,60.4809601,75.11443201
79,59.77239765,75.9944947
80,58.88351764,75.04158687
81,59.47211682,74.55969922
82,60.20557703,74.67424888
83,58.695685,73.48580117
84,59.31084018,75.57738755
85,59.55675412,77.02070836
86,59.15077664,75.59954649
87,60.48794993,70.10088575
88,59.53855817,74.11286676
89,59.42929911,73.41255811
90,58.90413194,72.57204612
91,56.31738345,74.15779365
92,59.68845025,75.47119254
93,56.90078866,74.787312
94,60.06607872,71.63399213
95,58.5760485,73.52790148
96,57.47946247,75.15094716
97,58.79894819,74.14693677
98,57.94398494,75.86148168
99,58.28729107,73.92929755
100,57.56250902,74.30785255
101,58.18138535,70.9502894
102,55.94870767,73.91721659
103,57.64172874,74.49742863
104,57.91117012,71.87832483
105,57.69445977,72.54855887
106,57.15241923,70.24235518
107,57.45623811,71.77986739
108,56.80938858,73.98369111
109,56.96343029,75.56484247
110,57.52924226,72.46308468
111,57.00827835,71.85176139
112,57.82920591,73.30556314
113,58.46669902,71.92116982
114,57.27438433,72.37251985
115,55.6697838,72.09841464
116,56.26212594,74.05324845
117,57.68066236,71.92183032
118,58.07947028,71.54884949
119,56.5107927,71.98333093
120,55.45726385,75.00685478
121,58.09319487,70.56223203
