epoch,a_mAP,a_mAP_visible,a_mAP_unshown,class_0_mAP,class_1_mAP,class_2_mAP,class_3_mAP,class_4_mAP,class_5_mAP,class_6_mAP,class_7_mAP,class_8_mAP,class_9_mAP,class_10_mAP,class_11_mAP,class_12_mAP,class_13_mAP,class_14_mAP,class_15_mAP,class_16_mAP
76,0.31917337032773224,0.3396356223013129,0.270981712493188,0.11157024793388429,0.3412041775478278,0.5980911717918768,0.38992938176893593,0.017378224654631527,0.26535044314411793,0.09169112879759332,0.4099504981082058,0.6120844434703528,0.5300885206400152,0.47650724739873707,0.2970852294176824,0.35822160475530723,0.6459753341693665,0.2294531965789844,0.04850566980588121,0.0028607755880483156
81,0.3366676617712199,0.3732765620763544,0.264340146438473,0.14199219752579437,0.2684401615328541,0.6551893251557583,0.4271229552211041,0.03330144509994605,0.2676423395881852,0.1483291422903604,0.4454704980116824,0.6350325495149239,0.5470519220857726,0.4783432206966117,0.35923661407492896,0.3443161011977268,0.652459538847881,0.27395999161060286,0.04546224765660502,0.0
86,0.3409015866419609,0.37059104640422474,0.27301795683691865,0.07518569584685285,0.37240950639761505,0.6256886561237998,0.44885987487793233,0.06744518621914138,0.24871028345838647,0.1523257702928356,0.4363261890136049,0.6239317547971795,0.5569257899927975,0.4633920009897886,0.3423773992828692,0.3576669561044145,0.6580978024287113,0.29145280401936613,0.07453130306804032,0.0
91,0.3438718477464795,0.37926742409184877,0.30425964556628976,0.1819734372068575,0.3196177942901019,0.6226096503270633,0.4560381279948538,0.04047878848799473,0.28226093734843405,0.10690812220972715,0.43722840025343274,0.6354425531189949,0.5677821581318225,0.47740630847587373,0.3548219508108473,0.4350317995929381,0.671445922590994,0.22051016934756126,0.03626529150265456,0.0
96,0.3701322303008788,0.39210276374950176,0.3144817135578758,0.20745145187026087,0.30636844974521565,0.69366226163682,0.4250002502207441,0.11470592946631616,0.2637678343155579,0.24039369186159062,0.4749758319478951,0.6409061688999815,0.5629118984971743,0.47422855209022485,0.3468965577939495,0.41282318296109205,0.7025647771492435,0.2967591820520536,0.12733226493101868,0.0014996296758013302
101,0.36232542249029537,0.3949639637322773,0.30146005615913923,0.23445804694023553,0.3896140643953032,0.6761109971191686,0.40849379363437793,0.06299817424524132,0.26293533003505953,0.2450730060729546,0.46288830200637743,0.6345144214060255,0.5717112286235572,0.44538333697440485,0.3604184639107387,0.38677038939562997,0.6706303913406301,0.28841330396591447,0.055716253443526154,0.0034026788258763184
106,0.35809874155412136,0.39399444753134494,0.3008090337206301,0.2705238342200065,0.3469195696111383,0.6000597972292797,0.442498019324961,0.06464205133949079,0.29205180690154836,0.1310815085133996,0.47975820891205134,0.6343517738013873,0.5618641089514081,0.474144356129601,0.36088331457968864,0.3735899289910868,0.665057304399244,0.283512026569908,0.10615899252262888,0.0005820044232336166
111,0.37007293663606833,0.40346376671798667,0.31268230185561513,0.21836375579671896,0.3432766775756504,0.6757538954457372,0.454953703070184,0.05016746076799162,0.2959045469905255,0.20316418751509724,0.48076906964890503,0.634119926981213,0.5729724882562683,0.4849306952699495,0.37094378319958227,0.38831239757486186,0.6746837415501972,0.3266360504890558,0.11628754268122243,0.0
116,0.3649883481501112,0.4030549273674518,0.29963545426592736,0.17544487605802495,0.3361495608770345,0.712088016181995,0.45274642785770314,0.12874366615410643,0.2931932238392008,0.22233331904538645,0.4873714926154533,0.6288752791376367,0.5561480022954008,0.47285456302313206,0.3581612978625378,0.37108291102927327,0.685898871619409,0.2749119421340922,0.04802981598673537,0.000768652834768537
121,0.37951804635654424,0.40080026089015214,0.32216719929573784,0.2226056926505253,0.33231403344897686,0.6885707348546899,0.49864935215778694,0.1481194950930611,0.30235824076284756,0.24082692741160425,0.4820158856413134,0.6472726319766116,0.5601580236690787,0.49342985258311234,0.3804121517068054,0.3941612477415342,0.6902876439467832,0.3055364905781361,0.06508838383838383,0.0
126,0.3888981808880759,0.41636576361712424,0.33272515759489923,0.27015042309991527,0.36926077683835123,0.6919721911194214,0.48461961013691784,0.14631544048905806,0.2987741904259857,0.21172212227365877,0.4814128828805226,0.6483125578191494,0.5697149273162246,0.5114346806099253,0.3679892888574847,0.40812592304017387,0.7187896529242028,0.3450366662194655,0.08763774104683196,0.0
131,0.36356311787053613,0.3829377466225169,0.3193261703441347,0.15023475679963152,0.3876571413232459,0.6135981073479916,0.48221078544815377,0.1591439935966634,0.287736429541173,0.13587481815829947,0.47658000573720616,0.6472468474973414,0.5706646364093053,0.4398550450062019,0.36343919152735665,0.39121540667378707,0.6671228615246982,0.3377341652137093,0.07025881199434919,0.0
136,0.367356519555056,0.39777587587627866,0.31152005995883764,0.20083341637050078,0.33280039497187247,0.687828496510699,0.49012140423183315,0.1650184063195943,0.2773222273693881,0.1981218585707148,0.4374543248119396,0.6303913051275961,0.5590053648633405,0.4778954731111808,0.3421258546165462,0.4069389505473184,0.6698717587938224,0.3243557750295875,0.04497582119001795,0.0
141,0.3924925134180863,0.4209807002771618,0.3321796870226375,0.37125019963072015,0.3689672647710942,0.7326339379131238,0.45572362138188566,0.10191369823549037,0.2929358096957856,0.2292669326970477,0.49182436602083707,0.6412860245400536,0.5891540535040015,0.47734117741046084,0.34617471611143563,0.3868878923026794,0.6996377236806841,0.34025929209459105,0.14148115711081435,0.005634861006761833
146,0.3800020425104448,0.4157832991022531,0.33481137997487137,0.2594074718584372,0.36284712083630355,0.7082765180562527,0.5047045499416554,0.10397175076180576,0.28525658115607544,0.2313899705813271,0.4931273154255111,0.6228130960909571,0.5622599671990701,0.4839342363534078,0.37485901418677514,0.40173357300080137,0.6797078986899067,0.3310598114924036,0.051418501284811444,0.0032673457620603493
151,0.39483941025246505,0.41725978321685037,0.33461758923244544,0.240606507726723,0.3578404912028847,0.722737370973433,0.512988917226089,0.1947459171231205,0.30194554706347687,0.23073603492890363,0.4872166288739339,0.654940107191452,0.5898797842806038,0.4850412558929785,0.366785523514921,0.3711411608400452,0.6907812063826989,0.37107793271959766,0.1338055883510429,0.0
156,0.39509664628147123,0.4203974200989531,0.32829839293442187,0.2994417130563281,0.37715910158267885,0.7008548154832999,0.4993317159675689,0.12112539259463162,0.3008449932254785,0.2612542308687001,0.48274257532296844,0.6356575062986292,0.5735184271144724,0.4637394805880469,0.3712838597427143,0.4213895767707969,0.6995207773755598,0.33426806983610463,0.17451075095703195,0.0
161,0.39130531492753173,0.4163407977278083,0.31170291513880266,0.32887502898441157,0.3794921359504404,0.6871358746217665,0.491840426303565,0.18522776350713954,0.3066748157820698,0.2555945877570918,0.4947398712115053,0.6198556106122769,0.5519589114258312,0.47442640222414467,0.36623884087842695,0.42679552551531313,0.7185060108676559,0.31338958773725706,0.05143896038914333,0.0
166,0.3884965757289956,0.4108797078783087,0.3412756700226372,0.17109723121453327,0.4066911966051115,0.6828120179640931,0.5250637822479274,0.22233475514687606,0.3092437761427694,0.21763901423760856,0.45667359490675863,0.6556766366672125,0.5855531503703689,0.491558549341479,0.3885868017522122,0.3786575976167943,0.7260116619154636,0.32674236156512626,0.06009965969859017,0.0
171,0.39979553054843847,0.4252157038756275,0.3303809717344802,0.1949565585929223,0.39523586219778817,0.6236326123072766,0.5543682914911776,0.2057719355159271,0.3286856704813258,0.24951652720337308,0.48451209976168413,0.6578916232981082,0.6105648360175765,0.4877452265622868,0.3890853209950991,0.4011696940541106,0.716721057048856,0.37644719266734056,0.12021951112860206,0.0
176,0.41799980047356855,0.4421672317339471,0.3276735330790203,0.2700163672053624,0.39095887736526436,0.7080832430159439,0.5230562218029254,0.21706439618850423,0.2859627867106204,0.23795729501321572,0.5055332197755332,0.662802479664879,0.6032509717440915,0.5042770968250477,0.3991623958156605,0.4305609594541631,0.7130281607903715,0.41834761665365333,0.23593452002542922,0.0
181,0.4191409140235243,0.43872651074206603,0.3362957095752662,0.21052631578947367,0.4188197394771613,0.7080857660238887,0.5601131095523288,0.19598842128524446,0.31034600246597727,0.27154566530705354,0.5021335537819203,0.6660540020891217,0.592923888255298,0.484732226927466,0.3986394217276902,0.40727939261406443,0.7106061326271272,0.4091878902439065,0.27841401023219203,0.0
